iter	RMSE
0	21.47746454
1	20.59031665
2	19.74618729
3	18.94282316
4	18.18142339
5	17.46332139
6	16.78101155
7	16.13707332
8	15.53046383
9	14.96059595
10	14.41462819
11	13.89548123
12	13.40949103
13	12.94844785
14	12.50793807
15	12.09837912
16	11.69957822
17	11.32442791
18	10.97386751
19	10.64393583
20	10.32588643
21	10.03035828
22	9.753831599
23	9.494253758
24	9.242442899
25	9.007470925
26	8.788428856
27	8.578701872
28	8.382344889
29	8.201667943
30	8.028110842
31	7.865022936
32	7.716304601
33	7.576817757
34	7.442468698
35	7.316839465
36	7.199275464
37	7.088313663
38	6.985557324
39	6.888821976
40	6.797361782
41	6.712600676
42	6.63435216
43	6.559239622
44	6.489811172
45	6.424629947
46	6.364830485
47	6.309692135
48	6.257044443
49	6.208483468
50	6.161295465
51	6.117170501
52	6.077860329
53	6.038589809
54	5.999353251
55	5.963859118
56	5.931290544
57	5.902305506
58	5.870151048
59	5.841709132
60	5.814438102
61	5.789834331
62	5.766507874
63	5.742482424
64	5.723028847
65	5.702210842
66	5.68196062
67	5.662161114
68	5.645564322
69	5.629329008
70	5.614532724
71	5.597101069
72	5.582800161
73	5.571132482
74	5.557918212
75	5.545539713
76	5.533926022
77	5.52251497
78	5.512773381
79	5.503506178
80	5.494827523
81	5.486777168
82	5.47646459
83	5.467023207
84	5.458671882
85	5.449241583
86	5.441918492
87	5.432011305
88	5.423522082
89	5.414271211
90	5.40794195
91	5.401014685
92	5.39529017
93	5.388178162
94	5.380293676
95	5.374725496
96	5.369095215
97	5.363071168
98	5.35817642
99	5.353271627
100	5.348691462
101	5.343137178
102	5.337388886
103	5.33221772
104	5.326907489
105	5.322684718
106	5.317855455
107	5.312336304
108	5.304918022
109	5.300312136
110	5.293160656
111	5.288741796
112	5.284643924
113	5.279437501
114	5.275704833
115	5.27144136
116	5.268189794
117	5.264778511
118	5.261198837
119	5.256934879
120	5.251549227
121	5.246477417
122	5.242413522
123	5.237866346
124	5.234181121
125	5.230015473
126	5.226670984
127	5.223016154
128	5.218748132
129	5.215453783
130	5.212171833
131	5.208635995
132	5.203355816
133	5.198319384
134	5.194713182
135	5.192099997
136	5.188913468
137	5.185015878
138	5.181360551
139	5.17790662
140	5.174151532
141	5.169475098
142	5.165279663
143	5.162561928
144	5.158579091
145	5.154278881
146	5.150560411
147	5.146084176
148	5.142895814
149	5.140040159
150	5.137434865
151	5.134387003
152	5.131448181
153	5.127107349
154	5.123449092
155	5.120366386
156	5.117699861
157	5.114412498
158	5.110362767
159	5.106512948
160	5.10209303
161	5.099096943
162	5.095413016
163	5.092449897
164	5.089038937
165	5.08618681
166	5.083365927
167	5.080198412
168	5.077162372
169	5.073260443
170	5.07080079
171	5.068253406
172	5.065053606
173	5.063240822
174	5.059494332
175	5.055655432
176	5.053011889
177	5.050336535
178	5.045755913
179	5.04094997
180	5.037065905
181	5.034244213
182	5.029163988
183	5.025902077
184	5.022089066
185	5.018262973
186	5.014904328
187	5.011605496
188	5.009521826
189	5.006865188
190	5.002349399
191	4.998176923
192	4.995519685
193	4.992708987
194	4.987523746
195	4.983229431
196	4.979621364
197	4.976401016
198	4.972070469
199	4.968196077
200	4.96445786
201	4.961958437
202	4.958267856
203	4.953614563
204	4.950621976
205	4.947745881
206	4.94507605
207	4.942329489
208	4.93889526
209	4.93662848
210	4.933698903
211	4.931620642
212	4.92850773
213	4.926216533
214	4.92390164
215	4.920005629
216	4.916746159
217	4.914365323
218	4.911756157
219	4.907882199
220	4.904970404
221	4.902211497
222	4.899380533
223	4.897348066
224	4.89497408
225	4.892219136
226	4.888089202
227	4.884935244
228	4.881730298
229	4.877645057
230	4.875461404
231	4.871700553
232	4.868757705
233	4.865924125
234	4.862816948
235	4.860281923
236	4.857809955
237	4.855852925
238	4.853586177
239	4.850893465
